elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
587.9,4180,1143.16,139.79
588.9,4200,1143.16,139.9
589.9,4200,1143.19,140.07
590.9,4200,1143.19,140.23
591.9,4220,1143.2,140.34
592.9,4220,1143.21,140.55
593.9,4220,1143.22,140.72
594.9,4240,1143.22,140.84
595.9,4240,1143.23,141.0
596.9,4240,1143.23,141.18
597.9,4260,1143.24,141.31
598.9,4260,1143.26,141.47
599.9,4260,1143.26,141.63
600.9,4280,1143.26,141.77
601.9,4280,1143.28,141.92
602.9,4280,1143.28,142.11
603.9,4300,1143.28,142.25
604.9,4300,1143.29,142.39
605.9,4300,1143.31,142.57
606.9,4320,1143.31,142.71
607.9,4320,1143.32,142.86
608.9,4320,1143.33,143.05
609.9,4340,1143.33,143.19
610.9,4340,1143.34,143.32
611.9,4340,1143.35,143.49
612.9,4360,1143.36,143.66
613.9,4360,1143.37,143.79
614.9,4360,1143.38,143.96
615.9,4380,1143.39,144.12
616.9,4380,1143.39,144.24
617.9,4380,1143.41,144.41
618.9,4400,1143.41,144.59
619.9,4400,1143.41,144.71
620.9,4400,1143.42,144.88
621.9,4420,1143.44,145.07
622.9,4420,1143.44,145.18
623.9,4420,1143.44,145.34
624.9,4440,1143.46,145.51
625.9,4440,1143.46,145.66
626.9,4440,1143.46,145.82
627.9,4460,1143.48,145.98
628.9,4460,1143.48,146.1
629.9,4460,1143.49,146.29
630.9,4480,1143.51,146.45
631.9,4480,1143.51,146.57
632.9,4480,1143.52,146.75
633.9,4500,1143.52,146.93
634.9,4500,1143.54,147.1
635.9,4500,1143.54,147.24
636.9,4500,1143.54,147.36
637.9,4520,1143.55,147.5
638.9,4520,1143.55,147.59
640.0,4520,1143.56,147.74
641.0,4520,1143.57,147.88
642.0,4540,1143.57,147.98
643.0,4540,1143.57,148.12
644.0,4540,1143.58,148.26
645.0,4540,1143.6,148.38
646.0,4560,1143.6,148.47
647.0,4560,1143.61,148.61
648.0,4560,1143.61,148.75
649.0,4580,1143.62,148.89
650.0,4580,1143.62,148.98
651.0,4580,1143.63,149.11
652.0,4580,1143.64,149.25
653.0,4600,1143.65,149.39
654.0,4600,1143.65,149.48
655.0,4600,1143.66,149.62
656.0,4600,1143.66,149.74
657.0,4620,1143.68,149.86
658.0,4620,1143.68,149.98
659.0,4620,1143.69,150.12
660.0,4620,1143.69,150.26
661.0,4640,1143.71,150.36
662.0,4640,1143.71,150.5
663.0,4640,1143.71,150.64
664.0,4660,1143.73,150.78
665.0,4660,1143.74,150.87
666.0,4660,1143.74,151.02
667.0,4660,1143.74,151.13
668.0,4680,1143.75,151.27
669.0,4680,1143.76,151.37
670.0,4680,1143.77,151.52
671.0,4680,1143.77,151.65
672.0,4700,1143.77,151.75
673.0,4700,1143.79,151.89
674.0,4700,1143.8,152.03
675.0,4700,1143.8,152.15
676.0,4720,1143.8,152.24
677.0,4720,1143.81,152.38
678.0,4720,1143.82,152.53
679.0,4740,1143.82,152.66
680.0,4740,1143.82,152.74
681.0,4740,1143.83,152.88
682.0,4740,1143.84,153.02
683.0,4760,1143.84,153.13
684.0,4760,1143.85,153.23
685.0,4760,1143.86,153.38
686.0,4760,1143.86,153.49
687.0,4780,1143.86,153.62
688.0,4780,1143.87,153.73
689.0,4780,1143.88,153.86
690.0,4780,1143.88,153.99
691.0,4800,1143.88,154.11
692.0,4800,1143.89,154.22
693.0,4800,1143.9,154.36
694.0,4800,1143.91,154.51
695.0,4820,1143.91,154.6
696.0,4820,1143.91,154.74
697.0,4820,1143.92,154.88
698.0,4840,1143.92,155.02
699.0,4840,1143.92,155.12
700.0,4840,1143.93,155.23
701.0,4840,1143.94,155.38
702.0,4860,1143.94,155.52
703.0,4860,1143.95,155.61
704.0,4860,1143.96,155.73
705.0,4860,1143.96,155.87
706.0,4880,1143.96,155.99
707.0,4880,1143.97,156.1
708.1,4880,1143.97,156.22
709.1,4880,1143.98,156.37
710.1,4900,1143.99,156.46
711.1,4900,1143.99,156.58
712.1,4900,1144.0,156.72
713.1,4900,1144.01,156.86
714.1,4920,1144.02,156.96
715.1,4920,1144.02,157.07
716.1,4920,1144.02,157.21
717.1,4920,1144.04,157.34
718.1,4940,1144.04,157.42
719.1,4940,1144.05,157.57
720.1,4940,1144.05,157.71
721.1,4960,1144.05,157.85
722.1,4960,1144.06,157.95
723.1,4960,1144.07,158.06
724.1,4960,1144.07,158.21
725.1,4980,1144.09,158.32
726.1,4980,1144.09,158.41
727.1,4980,1144.1,158.56
728.1,4980,1144.1,158.7
729.1,5000,1144.1,158.82
730.1,5000,1144.1,158.84
731.1,5000,1144.1,158.84
732.1,5000,1144.1,158.84
733.1,5000,1144.1,158.84
734.1,5000,1144.1,158.84
735.1,5000,1144.1,158.84
736.1,5000,1144.1,158.84
737.1,5000,1144.1,158.84
738.1,5000,1144.11,158.84
739.1,5000,1152.2,57.95
