elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
228.3,1220,1137.37,39.19
229.3,1240,1137.37,39.19
230.3,1240,1137.37,39.19
231.3,1240,1137.39,39.19
232.3,1240,1137.43,39.19
233.3,1260,1137.45,39.19
234.3,1260,1137.45,39.19
235.3,1260,1137.46,39.19
236.3,1280,1137.51,39.19
237.3,1280,1137.51,39.19
238.3,1280,1137.53,39.19
239.3,1280,1137.53,39.19
240.3,1300,1137.54,39.19
241.3,1300,1137.55,39.19
242.3,1300,1137.59,39.19
243.3,1300,1137.61,39.19
244.3,1320,1137.61,39.19
245.3,1320,1137.61,39.19
246.3,1320,1137.62,39.19
247.3,1320,1137.67,39.19
248.3,1340,1137.68,39.19
249.3,1340,1137.68,39.19
250.3,1340,1137.68,39.19
251.3,1340,1137.7,39.19
252.3,1360,1137.75,39.19
253.3,1360,1137.77,39.19
254.3,1360,1137.77,39.19
255.3,1360,1137.78,39.19
256.3,1380,1137.79,39.19
257.3,1380,1137.83,39.19
258.3,1380,1137.84,39.19
259.3,1380,1137.84,39.19
260.3,1400,1137.85,39.19
261.3,1400,1137.87,39.19
262.3,1400,1137.91,39.19
263.3,1420,1137.92,39.19
264.3,1420,1137.92,39.19
265.3,1420,1137.93,39.19
266.3,1420,1137.97,39.19
267.3,1440,1137.98,39.19
268.3,1440,1138.0,39.19
269.3,1440,1138.0,39.19
270.3,1460,1138.01,39.19
271.3,1460,1138.03,39.19
272.3,1460,1138.06,39.19
273.3,1460,1138.08,39.19
274.3,1480,1138.08,39.19
275.3,1480,1138.09,39.19
276.3,1480,1138.14,39.19
277.3,1480,1138.15,39.19
278.3,1500,1138.16,39.19
279.3,1500,1138.17,39.19
280.3,1500,1138.18,39.19
281.3,1520,1138.23,39.19
282.3,1520,1138.25,39.19
283.3,1520,1138.25,39.19
284.3,1520,1138.26,39.19
285.3,1540,1138.27,39.19
286.3,1540,1138.32,39.19
287.3,1540,1138.33,39.19
288.3,1560,1138.33,39.19
289.3,1560,1138.33,39.19
290.3,1560,1138.35,39.19
291.3,1560,1138.39,39.19
292.4,1580,1138.4,39.19
293.4,1580,1138.41,39.19
294.4,1580,1138.41,39.19
295.4,1580,1138.42,39.19
296.4,1580,1138.47,39.19
297.4,1600,1138.48,39.19
298.4,1600,1138.49,39.19
299.4,1600,1138.49,39.19
300.4,1600,1138.52,39.19
301.4,1620,1138.55,39.19
302.4,1620,1138.57,39.19
303.4,1620,1138.57,39.19
304.4,1640,1138.57,39.19
305.4,1640,1138.62,39.19
306.4,1640,1138.63,39.19
307.4,1640,1138.64,39.19
308.4,1660,1138.64,39.19
309.4,1660,1138.64,39.19
310.4,1660,1138.67,39.19
311.4,1680,1138.68,39.19
312.4,1680,1138.68,39.19
313.4,1680,1138.68,39.19
314.4,1680,1138.68,39.19
315.4,1700,1138.68,39.19
316.4,1700,1138.68,39.19
317.4,1700,1138.69,39.19
318.4,1700,1138.69,39.19
319.4,1720,1138.7,39.19
320.4,1720,1138.7,39.19
321.4,1720,1138.7,39.19
322.4,1720,1138.7,39.19
323.4,1740,1138.7,39.19
324.4,1740,1138.71,39.19
325.4,1740,1138.71,39.19
326.4,1740,1138.71,39.19
327.4,1740,1138.71,39.19
328.4,1760,1138.71,39.19
329.4,1760,1138.72,39.19
330.4,1760,1138.72,39.19
331.4,1760,1138.72,39.19
332.4,1780,1138.72,39.19
333.4,1780,1138.72,39.19
334.4,1780,1138.73,39.19
335.4,1800,1138.73,39.19
336.4,1800,1138.73,39.19
337.4,1800,1138.73,39.19
338.4,1800,1138.74,39.19
339.4,1820,1138.74,39.19
340.4,1820,1138.75,39.19
341.4,1820,1138.75,39.19
342.4,1820,1138.75,39.19
343.4,1840,1138.75,39.19
344.4,1840,1138.75,39.19
345.4,1840,1138.75,39.19
346.4,1860,1138.75,39.19
347.4,1860,1138.75,39.19
348.4,1860,1138.76,39.19
349.4,1860,1138.76,39.19
350.4,1880,1138.76,39.19
351.4,1880,1138.76,39.19
352.4,1880,1138.77,39.19
353.4,1880,1138.77,39.19
