Scenario B (fixed): 400 rounds (max 150.0s), 25 buffers x 20 signals (expected monitored_count to stay at 0), 1.0s between rounds -> /home/vagrant/src/moellep/pyepics-testing/docs/camonitor-cliff/results_B.csv
[diagnostic] CAGET_TEST:SIG0:HST0: chid before disconnect() = c_long(784449264), chid after disconnect() = c_long(784449264) (non-None/non-zero here means the channel is still clearable via epics.ca.clear_channel())
[   39.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  45.41MB server_rss=113.65 latency_p50=
[   40.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  45.44MB server_rss=113.65 latency_p50=
[   41.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  45.63MB server_rss=113.66 latency_p50=
[   42.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  45.82MB server_rss=113.67 latency_p50=
-- round 11 done (buffer 11) --
[   43.1s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  45.89MB server_rss=113.67 latency_p50=30.58
[   44.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.05MB server_rss=113.68 latency_p50=
[   45.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.26MB server_rss=113.7 latency_p50=
-- round 12 done (buffer 12) --
[   46.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.36MB server_rss=113.7 latency_p50=
[   47.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.46MB server_rss=113.7 latency_p50=
[   48.4s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.65MB server_rss=113.71 latency_p50=31.52
-- round 13 done (buffer 13) --
[   49.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.84MB server_rss=113.73 latency_p50=
[   50.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  46.89MB server_rss=113.73 latency_p50=
[   51.8s] cached=   0 monitored=   0 active=   0 channels=   1 fds=  11 implied=   0.00 MB/s client_rss=  47.10MB server_rss=113.73 latency_p50=
-- round 14 done (buffer 14) --
