round_num,elapsed_s,round_dur_s,total_buffers
264,762.0,0.641,250
265,763.0,0.687,250
266,764.0,0.658,250
267,764.9,0.658,250
268,765.9,0.664,250
269,766.9,0.694,250
270,767.9,0.698,250
271,768.9,0.698,250
272,769.8,0.662,250
273,770.8,0.666,250
274,771.8,0.711,250
275,772.8,0.647,250
276,773.7,0.655,250
277,774.7,0.662,250
278,775.6,0.659,250
279,776.6,0.659,250
280,777.6,0.651,250
281,778.5,0.662,250
282,779.5,0.654,250
283,780.4,0.647,250
284,781.4,0.643,250
285,782.3,0.659,250
286,783.3,0.659,250
287,784.4,0.771,250
288,785.3,0.686,250
289,786.3,0.639,250
290,787.2,0.657,250
291,788.2,0.663,250
292,789.2,0.666,250
293,790.1,0.656,250
294,791.1,0.641,250
295,792.0,0.643,250
296,792.9,0.642,250
297,793.9,0.646,250
298,794.9,0.657,250
299,795.8,0.655,250
