elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
374.4,1960,1177.08,40.33
375.4,1980,1177.1,39.93
376.4,1980,1177.1,39.93
377.4,1980,1177.1,40.16
378.4,1980,1177.1,40.42
379.4,2000,1177.11,39.98
380.4,2000,1177.67,39.99
381.4,2000,1180.21,40.29
382.4,2020,1184.04,40.55
383.4,2020,1184.46,39.95
384.4,2020,1184.47,40.16
385.4,2020,1184.48,40.44
386.4,2040,1184.83,39.96
387.4,2040,1184.83,40.04
388.4,2040,1184.84,40.33
389.4,2060,1184.88,40.59
390.4,2060,1184.88,39.97
391.4,2060,1184.88,40.18
392.4,2060,1184.9,40.44
393.4,2080,1185.11,39.91
394.4,2080,1185.11,40.04
395.4,2080,1185.11,40.29
396.4,2080,1185.13,40.53
397.4,2100,1185.24,40.01
398.4,2100,1185.24,40.12
399.4,2100,1185.25,40.4
400.4,2120,1185.27,40.0
401.4,2120,1185.27,40.01
402.4,2120,1185.27,40.25
403.4,2120,1185.28,40.53
404.4,2140,1185.29,39.93
405.4,2140,1185.29,40.08
406.4,2140,1185.3,40.36
407.4,2160,1185.31,40.15
408.4,2160,1185.31,39.97
409.4,2160,1185.32,40.23
410.4,2160,1185.32,40.46
411.4,2180,1185.42,40.01
412.4,2180,1185.42,40.05
413.4,2180,1185.42,40.31
414.4,2200,1185.44,40.57
415.4,2200,1185.44,39.93
416.4,2200,1185.45,40.18
417.4,2200,1185.45,40.45
418.4,2220,1185.46,39.96
419.4,2220,1185.46,40.04
420.5,2220,1185.47,40.31
421.5,2240,1185.48,40.55
422.5,2240,1185.58,40.01
423.5,2240,1185.58,40.16
424.5,2240,1185.58,40.4
425.5,2260,1185.59,39.91
426.5,2260,1185.59,39.97
427.5,2260,1185.59,40.23
428.5,2260,1185.61,40.46
429.5,2280,1185.69,40.59
430.5,2280,1185.69,40.59
431.5,2280,1185.7,40.59
432.5,2300,1185.7,40.59
433.5,2300,1185.71,40.59
434.5,2300,1185.71,40.59
435.5,2300,1185.72,40.59
436.5,2320,1185.73,39.91
437.5,2320,1185.73,39.99
438.5,2320,1185.74,40.25
439.5,2320,1185.75,40.5
440.5,2340,1185.91,39.93
441.5,2340,1185.92,40.08
442.5,2340,1185.92,40.31
443.5,2360,1185.93,40.57
444.5,2360,1185.93,39.93
445.5,2360,1185.94,40.16
446.5,2360,1185.94,40.44
447.5,2380,1185.96,40.0
448.5,2380,1185.96,40.01
449.5,2380,1185.97,40.25
450.5,2380,1185.97,40.5
451.5,2400,1186.0,39.93
452.5,2400,1186.0,40.08
453.5,2400,1186.01,40.33
454.5,2420,1186.02,40.57
455.5,2420,1186.02,39.93
456.5,2420,1186.02,40.16
457.5,2420,1186.03,40.42
458.5,2440,1186.05,39.91
459.5,2440,1186.05,39.95
460.5,2440,1186.05,40.21
461.5,2440,1186.06,40.46
462.5,2460,1186.07,39.93
463.5,2460,1186.07,40.04
464.5,2460,1186.07,40.29
465.5,2460,1186.08,40.53
466.5,2480,1186.11,40.2
467.5,2480,1186.11,40.2
468.5,2480,1186.11,40.31
469.5,2480,1186.12,40.53
470.5,2500,1186.31,39.93
471.5,2500,1187.47,40.1
472.5,2500,1190.21,40.36
473.5,2520,1194.28,39.97
474.5,2520,1194.28,39.97
475.5,2520,1194.28,40.14
476.5,2520,1194.29,40.4
477.5,2540,1194.4,39.96
478.5,2540,1194.4,39.99
479.5,2540,1194.4,40.25
480.5,2540,1194.43,40.46
481.5,2560,1194.87,39.99
482.5,2560,1194.87,40.01
483.5,2560,1194.87,40.29
484.5,2580,1194.89,40.55
485.5,2580,1194.9,40.2
486.5,2580,1194.9,40.2
487.5,2580,1194.91,40.36
488.5,2600,1194.93,40.57
489.5,2600,1194.94,40.18
490.5,2600,1194.94,40.18
