elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
751.0,5000,1144.35,158.92
752.0,5000,1144.35,158.92
753.0,5000,1144.35,158.92
754.0,5000,1144.35,158.92
755.0,5000,1144.35,158.92
756.0,5000,1144.35,158.92
757.0,5000,1144.35,158.92
758.0,5000,1144.35,158.92
759.0,5000,1144.35,158.92
760.0,5000,1144.35,158.92
761.0,5000,1144.35,158.92
762.0,5000,1144.35,158.92
763.0,5000,1144.35,158.92
764.1,5000,1144.35,158.92
765.1,5000,1144.35,158.95
766.1,5000,1144.35,158.95
767.1,5000,1144.35,158.95
768.1,5000,1144.35,158.95
769.1,5000,1144.35,158.95
770.1,5000,1144.35,158.95
771.1,5000,1144.35,158.95
772.1,5000,1144.35,158.95
773.1,5000,1144.35,158.95
774.1,5000,1144.35,158.95
775.1,5000,1144.35,158.95
776.1,5000,1144.35,158.95
777.1,5000,1144.35,158.95
778.1,5000,1144.35,158.95
779.1,5000,1144.35,158.95
780.1,5000,1144.35,158.95
781.1,5000,1144.35,158.95
782.1,5000,1144.35,158.95
783.1,5000,1144.35,158.95
784.1,5000,1144.35,158.95
785.1,5000,1144.35,158.95
786.1,5000,1144.35,158.95
787.1,5000,1144.35,158.95
788.1,5000,1144.35,158.95
789.1,5000,1144.35,158.95
