elapsed_s,channels_touched_so_far,server_mem_rss_mb,client_mem_rss_mb
714.1,4720,1143.95,45.61
715.1,4720,1143.95,45.61
716.1,4740,1143.96,45.62
717.1,4740,1143.96,45.63
718.1,4760,1143.98,45.64
719.1,4760,1143.99,45.65
720.1,4760,1143.99,45.65
721.1,4780,1144.0,45.66
722.1,4780,1144.01,45.66
723.1,4800,1144.02,45.67
724.1,4800,1144.02,45.68
725.1,4800,1144.03,45.7
726.1,4820,1144.04,45.7
727.1,4820,1144.05,45.7
728.1,4840,1144.06,45.7
729.1,4840,1144.06,45.71
730.1,4840,1144.08,45.73
731.1,4860,1144.08,45.73
732.1,4860,1144.09,45.74
733.1,4880,1144.1,45.75
734.1,4880,1144.1,45.75
735.1,4880,1144.12,45.76
736.1,4900,1144.12,45.77
737.1,4900,1144.12,45.78
738.1,4920,1144.14,45.79
739.1,4920,1144.14,45.79
740.1,4920,1144.16,45.8
741.1,4940,1144.16,45.8
742.1,4940,1144.17,45.81
743.1,4960,1144.18,45.82
744.1,4960,1144.2,45.82
745.1,4960,1144.21,45.84
746.1,4980,1144.21,45.84
747.1,4980,1144.23,45.85
748.1,5000,1144.24,45.85
749.1,5000,1144.24,45.85
750.1,5000,1144.24,45.85
751.1,5000,1144.24,45.85
752.1,5000,1144.24,45.85
753.1,5000,1144.25,45.85
754.1,5000,1144.25,45.85
755.1,5000,1144.25,45.85
756.1,5000,1144.25,45.85
757.1,5000,1144.25,45.85
758.1,5000,1144.25,45.85
759.1,5000,1144.25,45.85
760.1,5000,1144.25,45.85
761.1,5000,1144.25,45.85
762.1,5000,1144.25,45.85
763.1,5000,1144.25,45.85
764.1,5000,1144.25,45.85
765.1,5000,1144.25,45.85
766.1,5000,1144.25,45.85
767.1,5000,1144.25,45.85
768.1,5000,1144.25,45.85
769.1,5000,1144.25,45.85
770.1,5000,1144.25,45.85
771.1,5000,1144.25,45.85
772.1,5000,1144.25,45.85
773.1,5000,1144.25,45.85
774.1,5000,1144.25,45.85
775.1,5000,1144.25,45.85
776.1,5000,1144.25,45.85
777.1,5000,1144.25,45.85
778.1,5000,1144.25,45.85
779.1,5000,1144.25,45.85
780.1,5000,1144.25,45.85
781.1,5000,1144.25,45.85
782.1,5000,1144.25,45.85
783.1,5000,1144.25,45.85
784.1,5000,1144.25,45.85
785.1,5000,1144.25,45.85
786.1,5000,1144.25,45.85
